ExhibitionID,ExhibitionTitle,ExhibitionBeginDate,ExhibitionEndDate,ExhibitionURL,ExhibitionRole,ExhibitionRoleinPressRelease,ConstituentType,DisplayName,AlphaSort,FirstName,MiddleName,LastName,Nationality,ArtistBio,Gender,ConstituentURL
3587.0,"Projects: Video XXXI, Nan Hoover: Fields of Blue",1980-01-03,1/29/1980,moma.org/calendar/exhibitions/2286,Curator,Director,Individual,Barbara London,London Barbara,Barbara,,London,,,,moma.org/artists/26020
3587.0,"Projects: Video XXXI, Nan Hoover: Fields of Blue",1980-01-03,1/29/1980,moma.org/calendar/exhibitions/2286,Artist,Artist,Individual,Nan Hoover,Hoover Nan,Nan,,Hoover,American,"American, 1931–2008",Female,moma.org/artists/35579
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Curator,Director,Individual,William S. Rubin,Rubin William S.,William,,Rubin,American,"American, 1927–2006",Male,moma.org/artists/13938
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Curator,Assistant Curator,Individual,Cora Rosevear,Rosevear Cora,Cora,,Rosevear,,,,moma.org/artists/24030
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Jean (Hans) Arp,Arp Jean (Hans),Jean,,Arp,French,"French, born Germany (Alsace). 1886–1966",Male,moma.org/artists/11
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Balthus (Baltusz Klossowski de Rola),Balthus (Baltusz Klossowski de Rola),,,Balthus (Baltusz Klossowski de Rola),French,"French, 1908–2001",Male,moma.org/artists/317
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Gustav Klutsis,Klutsis Gustav,Gustav,,Klutsis,Latvian,"Latvian, 1895–1938",Male,moma.org/artists/12501
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Roberto Matta,Matta Roberto,Roberto Sebastián Antonio,,Matta Echaurren,Chilean,"Chilean, 1911–2002",Male,moma.org/artists/3842
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Georgia O'Keeffe,O'Keeffe Georgia,Georgia,,O'Keeffe,American,"American, 1887–1986",Female,moma.org/artists/4360
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Francis Picabia,Picabia Francis,Francis,,Picabia,French,"French, 1879–1953",Male,moma.org/artists/4607
3586.0,Four Recently Discovered Picabias and Other Modern Master Acquisitions,1980-01-25,4/22/1980,moma.org/calendar/exhibitions/2285,Artist,Artist,Individual,Augustus Vincent Tack,Tack Augustus Vincent,Augustus,Vincent,Tack,American,"American, 1870–1949",Male,moma.org/artists/5774
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Ros Barron,Barron Ros,Ros,,Barron,American,"American, born 1933",Female,moma.org/artists/35613
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Jane Brettschneider,Brettschneider Jane,Jane,,Brettschneider,,,,moma.org/artists/66078
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Colin Campbell,Campbell Colin,Colin,,Campbell,Canadian,"Canadian, 1942–2001",Male,moma.org/artists/34830
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Tony Conrad,Conrad Tony,Tony,,Conrad,American,"American, born 1940",Male,moma.org/artists/32487
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Jane Hudson,Hudson Jane,Jane,,Hudson,,,,moma.org/artists/66079
3585.0,Projects: Video XXXII,1980-01-31,3/11/1980,moma.org/calendar/exhibitions/2284,Artist,Artist,Individual,Cynthia Rush,Rush Cynthia,Cynthia,,Rush,,,,moma.org/artists/66077
2934.0,Jackson Pollock: Drawing Into Painting,1980-02-04,3/16/1980,moma.org/calendar/exhibitions/2020,Curator,Director,Individual,Bernice Rose,Rose Bernice,Bernice,,Rose,,,,moma.org/artists/25814
2934.0,Jackson Pollock: Drawing Into Painting,1980-02-04,3/16/1980,moma.org/calendar/exhibitions/2020,Artist,Artist,Individual,Jackson Pollock,Pollock Jackson,Jackson,,Pollock,American,"American, 1912–1956",Male,moma.org/artists/4675
241.0,Eileen Gray,1980-02-06,4/1/1980,moma.org/calendar/exhibitions/1797,Curator,Director,Individual,J. Stewart Johnson,Johnson J. Stewart,J.,Stewart,Johnson,,,,moma.org/artists/9492
241.0,Eileen Gray,1980-02-06,4/1/1980,moma.org/calendar/exhibitions/1797,Artist,Artist,Individual,Eileen Gray,Gray Eileen,Eileen,,Gray,British,"Anglo-Irish, 1879–1976",Female,moma.org/artists/2313
446.0,Printed Art: A View of Two Decades,1980-02-13,4/1/1980,moma.org/calendar/exhibitions/1765,Curator,Director,Individual,Riva Castleman,Castleman Riva,Riva,,Castleman,American,"American, 1930–2014",Female,moma.org/artists/18388
446.0,Printed Art: A View of Two Decades,1980-02-13,4/1/1980,moma.org/calendar/exhibitions/1765,Artist,Artist,Individual,Vito Acconci,Acconci Vito,Vito,,Acconci,American,"American, born 1940",Male,moma.org/artists/53
